Region,Population
Australia,25890773
China,1419993000
New South Wales,7317500
Northern Territory,246500
Queensland,5354800
South Australia,1659800
Tasmania,541071
Victoria,5640900
Western Australia,2366900
Ontario,14223942
Quebec,8501833
British Columbia,5000879
Alberta,4262635
Manitoba,1342153
Saskatchewan,1132505
Nova Scotia,969383
New Brunswick,775610
Newfoundland and Labrador,510550
Prince Edward Island,154331
Northwest Territories,41070
Yukon,40232
Nunavut,36858
Canada,36991981
United States,331449281
United Kingdom,67081234
England,56489800
Northern Ireland,1903100
Scotland,5466000
Wales,3107500
Alabama,4903185
Alaska,731545
Arizona,7278717
Arkansas,3017804
California,39538223
Colorado,5773714
Connecticut,3605944
Delaware,989948
Florida,21538187
Georgia,10711908
Hawaii,1416000
Idaho,1787000
Illinois,12671821
Indiana,6732219
Iowa,3155070
Kansas,2913314
Kentucky,4467673
Louisiana,4648794
Maine,1344212
Maryland,6045680
Massachusetts,6892503
Michigan,9986857
Minnesota,5639632
Mississippi,2976149
Missouri,6137428
Montana,1068778
Nebraska,1934408
Nevada,3080156
New Hampshire,1359711
New Jersey,8882190
New Mexico,2096829
New York,19453561
North Carolina,10488084
North Dakota,762062
Ohio,11689100
Oklahoma,3956971
Oregon,4217737
Pennsylvania,12801989
Rhode Island,1059361
South Carolina,5148714
South Dakota,884659
Tennessee,6829174
Texas,28995881
Utah,3205958
Vermont,623989
Virginia,8535519
Washington,7614893
West Virginia,1792147
Wisconsin,5822434
Wyoming,578759
Guangdong,104303132
Shandong,95793065
Henan,94023567
Sichuan,80418200
Jiangsu,78659903
Hebei,71854202
Hunan,65683722
Anhui,59500510
Hubei,57237740
Zhejiang,54426891
Guangxi,46026629
Yunnan,45966239
Jiangxi,44567475
Liaoning,43746323
Fujian,36894216
Shaanxi,37327378
Heilongjiang,38312224
Shanxi,37022111
Guizhou,35806468
Chongqing,28846170
Jilin,27462297
Gansu,25575254
Inner Mongolia,24706321
Shanghai,23019148
Xinjiang,21813334
Beijing,19612368
Tianjin,12938224
Hainan,9261518
Ningxia,6176900
Qinghai,5626722
Tibet,3002166
